Raman Shift (1/cm),Intensity (Counts)
779.245,1125
779.544,1142
779.843,1120
780.141,1138
780.442,1142
780.741,1136
781.039,1144
781.338,1136
781.637,1140
781.936,1138
782.235,1138
782.535,1134
782.834,1144
783.133,1122
783.431,1138
783.73,1133
784.029,1142
784.328,1135
784.626,1134
784.925,1148
785.224,1138
785.522,1135
785.821,1131
786.121,1136
786.42,1131
786.718,1135
787.017,1135
787.316,1141
787.614,1129
787.913,1122
788.211,1140
788.51,1132
788.809,1144
789.107,1139
789.406,1128
789.703,1141
790.001,1136
790.3,1147
790.598,1141
790.897,1144
791.195,1143
791.494,1142
791.792,1151
792.091,1134
792.389,1160
792.687,1147
792.986,1136
793.284,1130
793.581,1141
793.879,1158
794.178,1126
794.476,1136
794.774,1135
795.073,1134
795.37,1132
795.668,1139
795.966,1124
796.264,1126
796.563,1140
796.861,1147
797.158,1135
797.456,1134
797.754,1126
798.052,1130
798.349,1135
798.647,1120
798.945,1137
799.244,1140
799.54,1132
799.839,1132
800.137,1114
800.435,1124
800.731,1141
801.029,1130
801.328,1134
801.624,1131
801.922,1132
802.22,1142
802.518,1126
802.815,1138
803.113,1131
803.411,1134
803.707,1126
804.005,1142
804.302,1137
804.6,1143
804.898,1130
805.194,1126
805.492,1138
805.79,1142
806.087,1126
806.384,1129
806.681,1129
806.979,1132
807.275,1140
807.573,1120
807.871,1116
808.167,1124
808.465,1133
808.761,1130
809.059,1126
809.356,1127
809.653,1112
809.95,1134
810.247,1116
810.544,1134
810.841,1125
811.138,1126
811.435,1128
811.732,1135
812.029,1142
812.325,1128
812.623,1134
812.919,1122
813.215,1125
813.513,1112
813.809,1119
814.107,1131
814.403,1133
814.701,1130
814.997,1133
815.293,1126
815.59,1123
815.886,1139
816.182,1128
816.48,1123
816.776,1132
817.072,1126
817.369,1127
817.666,1141
817.962,1126
818.259,1125
818.555,1129
818.851,1133
819.148,1132
819.444,1124
819.74,1112
820.038,1126
820.333,1120
820.629,1145
820.925,1133
821.223,1148
821.518,1114
821.814,1128
822.11,1119
822.407,1132
822.703,1131
822.999,1132
823.295,1139
823.591,1138
823.888,1130
824.184,1133
824.479,1130
824.775,1135
825.071,1131
825.368,1124
825.664,1130
825.959,1121
826.255,1130
826.551,1126
826.846,1137
827.142,1129
827.438,1120
827.735,1122
828.03,1129
828.326,1119
828.622,1128
828.917,1110
829.213,1126
829.508,1132
829.804,1117
830.1,1122
830.395,1133
830.691,1126
830.986,1134
831.282,1120
831.577,1141
831.873,1130
832.168,1140
832.464,1113
832.759,1133
833.054,1130
833.35,1117
833.645,1126
833.941,1129
834.236,1127
834.531,1113
834.827,1128
835.122,1134
835.417,1115
835.713,1125
836.008,1114
836.303,1116
836.599,1122
836.894,1134
837.188,1121
837.483,1118
837.778,1141
838.074,1126
838.369,1132
838.664,1129
838.959,1137
839.254,1120
839.548,1113
839.843,1138
840.138,1127
840.434,1134
840.729,1119
841.022,1118
841.318,1132
841.613,1144
841.908,1132
842.203,1122
842.497,1128
842.792,1114
843.087,1118
843.382,1129
843.675,1129
843.97,1121
844.265,1126
844.56,1123
844.854,1129
845.149,1128
845.444,1120
845.737,1132
846.032,1124
846.327,1133
846.621,1127
846.916,1134
847.21,1132
847.504,1123
847.799,1131
848.094,1112
848.387,1124
848.682,1113
848.977,1124
849.27,1122
849.565,1130
849.858,1136
850.153,1125
850.448,1107
850.741,1142
851.036,1124
851.329,1123
851.624,1141
851.917,1126
852.212,1122
852.507,1110
852.8,1122
853.094,1132
853.388,1127
853.682,1127
853.976,1116
854.27,1111
854.563,1118
854.858,1140
855.151,1124
855.446,1132
855.739,1116
856.032,1118
856.327,1129
856.62,1125
856.914,1123
857.207,1132
857.502,1124
857.795,1120
858.089,1122
858.382,1132
858.675,1118
858.97,1123
859.263,1106
859.556,1124
859.85,1131
860.143,1112
860.438,1104
860.731,1129
861.024,1114
861.318,1130
861.611,1128
861.904,1119
862.198,1136
862.491,1130
862.784,1114
863.077,1126
863.371,1121
863.664,1125
863.957,1112
864.251,1119
864.544,1119
864.837,1112
865.129,1120
865.424,1120
865.716,1124
866.009,1118
866.302,1126
866.596,1119
866.889,1118
867.181,1132
867.474,1126
867.767,1120
868.059,1124
868.354,1124
868.646,1127
868.939,1108
869.232,1120
869.524,1129
869.817,1137
870.111,1117
870.403,1123
870.696,1126
870.988,1123.98
871.281,1105.28
871.574,1114.34
871.866,1118.16
872.159,1104.82
872.451,1129.67
872.744,1125.63
873.038,1106.69
873.33,1124.35
873.622,1125.65
873.915,1136.94
874.207,1113.93
874.5,1124.76
874.792,1123.48
875.085,1128.46
875.377,1116.38
875.669,1121.31
875.962,1115.95
876.254,1125.02
876.547,1119.96
876.839,1122.06
877.131,1123.34
877.424,1111.28
877.716,1119.18
878.008,1122.9
878.3,1122.12
878.591,1128.57
878.884,1122.42
879.176,1128.03
879.468,1118.17
879.76,1118.9
880.053,1117.14
880.345,1121.51
880.637,1127.39
880.929,1126.38
881.221,1118.46
881.512,1114.86
881.804,1126.84
882.096,1119.89
882.389,1114.49
882.681,1114.92
882.973,1126.15
883.264,1119.45
883.556,1116.47
883.848,1124.47
884.14,1129.02
884.432,1115.57
884.724,1124.99
885.014,1120.2
885.307,1117.25
885.599,1122.27
885.891,1124.11
886.181,1125.04
886.473,1126.07
886.765,1120.61
887.057,1118.29
887.348,1120.76
887.639,1123.98
887.931,1119.66
888.222,1117.73
888.514,1127.39
888.806,1117.63
889.098,1112.04
889.388,1118.01
889.68,1118.42
889.972,1116.13
890.262,1123.59
890.554,1114.53
890.846,1115.76
891.136,1117.05
891.428,1122.89
891.718,1118.85
892.01,1115.52
892.302,1119.61
892.592,1115.42
892.884,1115.62
893.174,1115.45
893.466,1122.64
893.758,1114.62
894.048,1116.51
894.34,1117.46
894.63,1117.86
894.922,1124.15
895.212,1113.2
895.503,1123.86
895.795,1124.09
896.085,1119.98
896.377,1115.32
896.667,1124.26
896.959,1114.43
