Raman Shift (1/cm),Intensity (Counts)
848.309,1222
848.781,1222
849.254,1230
849.726,1218
850.199,1224
850.67,1212
851.144,1223
851.615,1215
852.088,1216
852.559,1224
853.033,1203
853.504,1206
853.977,1227
854.448,1227
854.921,1228
855.392,1210
855.865,1239
856.336,1238
856.809,1243
857.28,1212
857.753,1201
858.224,1207
858.697,1211
859.168,1228
859.639,1233
860.112,1230
860.583,1222
861.055,1216
861.526,1219
861.997,1230
862.469,1224
862.94,1229
863.413,1222
863.883,1217
864.354,1237
864.827,1214
865.297,1232
865.77,1215
866.24,1229
866.711,1250
867.183,1218
867.654,1222
868.124,1218
868.597,1226
869.067,1223
869.537,1220
870.008,1220
870.48,1219
870.95,1226
871.42,1218
871.893,1214
872.363,1213
872.833,1228
873.305,1214
873.775,1214
874.245,1215
874.715,1236
875.188,1220
875.658,1235
876.128,1216
876.598,1221
877.068,1237
877.539,1236
878.009,1222
878.479,1232
878.949,1208
879.421,1208
879.891,1233
880.36,1212
880.83,1225
881.3,1217
881.77,1224
882.241,1224
882.711,1202
883.181,1226
883.65,1224
884.12,1224
884.589,1210
885.059,1222
885.53,1214
886,1226
886.469,1224
886.939,1231
887.408,1211
887.878,1227
888.347,1225
888.816,1237
889.286,1237
889.757,1226
890.226,1220
890.695,1227
891.165,1234
891.634,1250
892.103,1221
892.572,1225
893.041,1216
893.51,1227
893.98,1222
894.449,1206
894.918,1238
895.387,1217
895.856,1243
896.325,1226
896.794,1234
897.262,1241
897.731,1232
898.2,1230
898.669,1229
899.138,1235
899.607,1234
900.075,1244
900.544,1235
901.013,1220
901.481,1258
901.95,1235
902.419,1233
902.885,1228
903.354,1224
903.823,1236
904.291,1236
904.76,1212
905.228,1213
905.697,1248
906.165,1208
906.633,1234
907.1,1223
907.568,1239
908.036,1214
908.505,1214
908.973,1249
909.441,1216
909.91,1211
910.376,1206
910.844,1230
911.312,1217
911.78,1228
912.249,1216
912.717,1238
913.183,1214
913.651,1226
914.119,1231
914.587,1232
915.053,1238
915.521,1220
915.989,1226
916.457,1215
916.924,1224
917.39,1216
917.858,1245
918.326,1224
918.792,1212
919.26,1204
919.727,1216
920.195,1216
920.661,1218
921.128,1220
921.596,1216
922.062,1224
922.529,1215
922.997,1225
923.464,1232
923.93,1234
924.397,1233
924.865,1214
925.33,1224
925.798,1230
926.263,1231
926.731,1247
927.198,1222
927.663,1230
928.13,1214
928.598,1227
929.063,1221
929.53,1221
929.996,1222
930.463,1222
930.93,1229
931.395,1226
931.862,1228
932.327,1254
932.794,1204
933.259,1238
933.726,1228
934.193,1226
934.658,1229
935.125,1224
935.59,1232
936.057,1241
936.522,1226
936.989,1218
937.454,1232
937.92,1231
938.385,1225
938.852,1230
939.317,1218
939.783,1245
940.248,1239
940.715,1237
941.179,1225
941.646,1226
942.111,1250
942.575,1216
943.042,1236
943.506,1230
943.973,1216
944.437,1214
944.904,1236
945.368,1237
945.832,1244
946.299,1240
946.763,1224
947.229,1227
947.694,1240
948.158,1227
948.624,1212
949.089,1226
949.553,1222
950.019,1215
950.483,1230
950.949,1251
951.413,1218
951.877,1219
952.343,1232
952.807,1218
953.271,1228
953.735,1228
954.201,1224
954.665,1248
955.129,1234
955.595,1218
956.059,1236
956.523,1236
956.987,1228
957.453,1232
957.916,1218
958.38,1230
958.846,1235
959.309,1237
959.773,1227
960.237,1228
960.701,1247
961.166,1235
961.63,1225
962.093,1238
962.557,1225
963.022,1238
963.486,1248
963.949,1240
964.413,1234
964.876,1240
965.339,1253
965.805,1222
966.268,1228
966.732,1242
967.195,1228
967.658,1238
968.121,1264
968.585,1245
969.05,1252
969.513,1266
969.976,1252
970.439,1256
970.902,1260
971.365,1264
971.828,1274
972.292,1251
972.755,1258
973.218,1260
973.682,1246
974.145,1250
974.608,1234
975.071,1233
975.534,1249
975.997,1250
976.46,1245
976.923,1234
977.385,1238
977.848,1260
978.311,1249
978.773,1249
979.236,1225
979.699,1228
980.161,1252
980.624,1232
981.087,1222
981.549,1242
982.012,1233
982.474,1239
982.937,1229
983.399,1242
983.862,1234
984.324,1240
984.785,1252
985.247,1260
985.709,1259
986.172,1237
986.634,1241
987.096,1248
987.558,1236
988.021,1242
988.483,1225
988.945,1244
989.405,1248
989.867,1236
990.329,1228
990.792,1260
991.254,1246
991.716,1250
992.178,1232
992.638,1248
993.1,1225
993.562,1236
994.023,1243
994.485,1237
994.947,1234
995.407,1238
995.869,1231
996.331,1236
996.793,1241
997.252,1259
997.714,1238
998.176,1228
998.637,1253
999.099,1223
999.559,1240
1000.02,1240
1000.48,1242
1000.94,1248
1001.4,1222
1001.86,1239
1002.33,1234
1002.79,1234
1003.25,1237
1003.71,1241
1004.17,1251
1004.63,1240
1005.09,1249
1005.55,1234
1006.01,1224
1006.47,1241
1006.93,1253
1007.39,1252
1007.85,1249
1008.31,1223
1008.77,1228
1009.24,1251
1009.7,1234
1010.16,1248
1010.62,1214
1011.08,1234
1011.54,1244
1012,1250
1012.46,1238
1012.92,1236
1013.38,1238
1013.84,1244
1014.3,1227
1014.76,1240
1015.22,1243
1015.68,1238
1016.14,1251
1016.6,1222
1017.06,1226
1017.52,1240
1017.98,1240
1018.44,1236
1018.9,1234
1019.36,1234
1019.82,1245
1020.27,1234
1020.73,1235
1021.19,1228
1021.65,1226
1022.11,1262
1022.57,1234
1023.03,1239
1023.49,1247
1023.95,1254
1024.41,1250
1024.87,1238
1025.33,1236
1025.79,1223
1026.25,1227
1026.7,1231
1027.16,1241
1027.62,1232
1028.08,1218
1028.54,1240
1029,1231
1029.46,1233
1029.92,1244
1030.38,1216
1030.84,1224
1031.29,1234
1031.75,1258
1032.21,1258
1032.67,1220
1033.13,1229
1033.59,1234
1034.05,1224
1034.5,1245
1034.96,1228
1035.42,1232
1035.88,1235
1036.34,1236
1036.8,1228
1037.25,1242
1037.71,1230
1038.17,1237
1038.63,1256
1039.09,1226
1039.54,1234
1040,1231
1040.46,1228
1040.92,1240
1041.38,1231
1041.84,1243
1042.29,1234
1042.75,1228
1043.21,1242
1043.67,1241
1044.12,1232
1044.58,1234
1045.04,1240
1045.5,1245
1045.95,1238
1046.41,1263
1046.87,1248
1047.33,1247
1047.79,1227
1048.24,1242
1048.7,1242
1049.16,1260
1049.61,1233
1050.07,1250
1050.53,1229
1050.99,1244
1051.44,1240
1051.9,1242
1052.36,1218
1052.81,1245
1053.27,1232
1053.73,1240
1054.19,1239
1054.64,1218
1055.1,1246
1055.56,1226
1056.01,1238
1056.47,1258
1056.93,1237
1057.38,1244
1057.84,1248
1058.3,1247
1058.75,1266
1059.21,1240
1059.67,1221
1060.12,1240
1060.58,1258
1061.04,1236
1061.49,1241
1061.95,1230
1062.41,1234
1062.86,1258
1063.32,1230
1063.77,1245
1064.23,1250
1064.69,1229
1065.14,1242
1065.6,1244
1066.06,1241
1066.51,1242
1066.97,1255
1067.42,1256
1067.88,1237
1068.34,1260
1068.79,1224
1069.25,1227
1069.7,1262
1070.16,1258
1070.62,1248
1071.07,1234
1071.53,1240
1071.98,1247
1072.44,1238
1072.89,1238
1073.35,1255
1073.81,1236
1074.26,1240
1074.71,1234
1075.17,1257
1075.63,1230
1076.08,1251
1076.54,1238
1076.99,1239
1077.45,1251
1077.9,1242
1078.36,1251
1078.81,1263
1079.27,1246
1079.72,1234
1080.18,1255
1080.63,1256
1081.09,1260
1081.54,1242
1082,1252
1082.45,1266
1082.91,1256
1083.36,1253
1083.82,1248
1084.27,1250
1084.73,1243
1085.18,1226
1085.64,1234
1086.09,1236
1086.54,1241
1087,1276
1087.45,1252
1087.91,1238
1088.36,1259
1088.82,1255
1089.27,1257
1089.72,1238
1090.18,1235
1090.63,1244
1091.09,1224
1091.54,1270
1092,1259
1092.45,1245
1092.9,1238
1093.36,1256
1093.81,1249
1094.27,1244
1094.72,1256
1095.17,1250
1095.63,1241
1096.08,1254
1096.54,1265
1096.99,1264
1097.44,1268
1097.9,1256
1098.35,1244
1098.8,1255
1099.26,1237
1099.71,1248
1100.17,1248
1100.62,1266
1101.07,1272
1101.52,1257
1101.98,1262
1102.43,1268
1102.88,1256
1103.34,1286
1103.79,1268
1104.24,1246
1104.7,1274
1105.15,1278
1105.6,1267
1106.06,1276
1106.51,1294
1106.96,1280
1107.41,1262
1107.87,1272
1108.32,1282
1108.78,1268
1109.23,1287
1109.68,1288
1110.13,1266
1110.59,1267
1111.04,1268
1111.49,1245
1111.94,1270
1112.4,1264
1112.85,1254
1113.3,1257
1113.75,1271
1114.21,1258
1114.66,1266
1115.11,1234
1115.56,1268
1116.02,1252
1116.47,1252
1116.92,1248
1117.37,1265
1117.83,1271
1118.28,1242
1118.73,1240
1119.18,1249
1119.63,1242
1120.09,1261
1120.54,1250
1120.99,1247
1121.44,1259
1121.89,1260
1122.34,1248
1122.8,1250
1123.25,1267
1123.7,1250
1124.15,1262
1124.6,1247
1125.05,1256
1125.51,1250
1125.96,1261
1126.41,1224
1126.86,1260
1127.31,1248
1127.76,1263
1128.22,1228
1128.67,1252
1129.12,1274
1129.57,1256
1130.02,1245
1130.47,1246
1130.92,1251
1131.37,1248
1131.82,1246
1132.27,1270
1132.73,1261
1133.18,1232
1133.63,1240
1134.08,1245
1134.53,1248
1134.98,1243
1135.43,1256
1135.88,1258
1136.33,1258
1136.78,1256
1137.23,1242
1137.68,1254
1138.14,1254
1138.59,1258
1139.04,1240
1139.49,1256
1139.94,1244
1140.39,1268
1140.84,1262
1141.29,1244
1141.74,1262
1142.19,1250
1142.64,1254
1143.09,1249
1143.54,1248
1143.99,1262
1144.44,1250
1144.89,1240
1145.34,1239
1145.79,1259
1146.24,1264
1146.69,1258
1147.14,1253
1147.59,1269
1148.04,1252
1148.49,1269
1148.94,1255
1149.39,1259
1149.84,1250
1150.29,1234
1150.74,1245
1151.19,1250
1151.64,1230
1152.09,1252
1152.54,1265
1152.99,1261
1153.44,1226
1153.89,1249
